Time (CET/CEST);NO2-NO1;NO2_hydro_river;NO2_hydro_storage;NO1_actual_load
04.01.2022 18:00 - 04.01.2022 19:00;1798;731;7229;5957
04.01.2022 19:00 - 04.01.2022 20:00;1535;725;6633;5873
04.01.2022 20:00 - 04.01.2022 21:00;1070;724;5671;5804
04.01.2022 21:00 - 04.01.2022 22:00;1225;727;4946;5658
04.01.2022 22:00 - 04.01.2022 23:00;1009;725;3746;5438
04.01.2022 23:00 - 05.01.2022 00:00;1132;722;2768;5190
05.01.2022 00:00 - 05.01.2022 01:00;1315;730;2567;4956
05.01.2022 01:00 - 05.01.2022 02:00;1409;723;2307;4824
05.01.2022 02:00 - 05.01.2022 03:00;1472;714;2159;4761
05.01.2022 03:00 - 05.01.2022 04:00;1701;704;2030;4749
05.01.2022 04:00 - 05.01.2022 05:00;1692;699;2053;4777
05.01.2022 05:00 - 05.01.2022 06:00;1519;692;2479;4948
05.01.2022 06:00 - 05.01.2022 07:00;1411;696;3427;5432
05.01.2022 07:00 - 05.01.2022 08:00;1797;715;4712;6012
05.01.2022 08:00 - 05.01.2022 09:00;2593;709;5705;6199
05.01.2022 09:00 - 05.01.2022 10:00;2486;704;5471;6213
05.01.2022 10:00 - 05.01.2022 11:00;2404;708;5596;6143
05.01.2022 11:00 - 05.01.2022 12:00;2407;703;5308;6061
05.01.2022 12:00 - 05.01.2022 13:00;2109;699;4866;5977
05.01.2022 13:00 - 05.01.2022 14:00;1897;701;4806;5873
05.01.2022 14:00 - 05.01.2022 15:00;1832;698;4780;5873
05.01.2022 15:00 - 05.01.2022 16:00;2049;693;5028;5994
05.01.2022 16:00 - 05.01.2022 17:00;1772;694;5594;6168
05.01.2022 17:00 - 05.01.2022 18:00;1857;696;6268;6110
05.01.2022 18:00 - 05.01.2022 19:00;1578;694;5931;6033
05.01.2022 19:00 - 05.01.2022 20:00;1603;695;5256;5954
05.01.2022 20:00 - 05.01.2022 21:00;1707;691;4681;5879
05.01.2022 21:00 - 05.01.2022 22:00;1618;692;4716;5749
05.01.2022 22:00 - 05.01.2022 23:00;1194;687;4039;5547
05.01.2022 23:00 - 06.01.2022 00:00;1057;690;3901;5351
06.01.2022 00:00 - 06.01.2022 01:00;1043;671;3993;5233
06.01.2022 01:00 - 06.01.2022 02:00;1286;660;3882;5097
06.01.2022 02:00 - 06.01.2022 03:00;1146;656;3772;5011
06.01.2022 03:00 - 06.01.2022 04:00;1029;651;4296;5048
06.01.2022 04:00 - 06.01.2022 05:00;641;670;4827;5111
06.01.2022 05:00 - 06.01.2022 06:00;480;677;5920;5336
06.01.2022 06:00 - 06.01.2022 07:00;450;676;6756;5868
06.01.2022 07:00 - 06.01.2022 08:00;129;676;7475;6472
06.01.2022 08:00 - 06.01.2022 09:00;12;677;7696;6521
06.01.2022 09:00 - 06.01.2022 10:00;79;671;7848;6412
06.01.2022 10:00 - 06.01.2022 11:00;97;672;7876;6348
06.01.2022 11:00 - 06.01.2022 12:00;8;688;7709;6374
06.01.2022 12:00 - 06.01.2022 13:00;99;685;7663;6233
06.01.2022 13:00 - 06.01.2022 14:00;759;681;7649;6112
06.01.2022 14:00 - 06.01.2022 15:00;1026;680;7717;6073
06.01.2022 15:00 - 06.01.2022 16:00;1667;683;7791;6257
06.01.2022 16:00 - 06.01.2022 17:00;1955;680;7706;6455
06.01.2022 17:00 - 06.01.2022 18:00;1672;683;7707;6419
06.01.2022 18:00 - 06.01.2022 19:00;1450;684;7686;6336
06.01.2022 19:00 - 06.01.2022 20:00;1844;690;7653;6270
06.01.2022 20:00 - 06.01.2022 21:00;1910;699;7741;6201
06.01.2022 21:00 - 06.01.2022 22:00;1970;702;7514;6149
06.01.2022 22:00 - 06.01.2022 23:00;2277;697;7211;6115
06.01.2022 23:00 - 07.01.2022 00:00;2074;693;6196;5946
07.01.2022 00:00 - 07.01.2022 01:00;1759;676;4502;5691
07.01.2022 01:00 - 07.01.2022 02:00;1621;669;3892;5550
07.01.2022 02:00 - 07.01.2022 03:00;1887;665;3443;5501
07.01.2022 03:00 - 07.01.2022 04:00;1661;646;3146;5439
07.01.2022 04:00 - 07.01.2022 05:00;1431;640;3137;5448
07.01.2022 05:00 - 07.01.2022 06:00;1254;657;3500;5602
07.01.2022 06:00 - 07.01.2022 07:00;1802;660;5433;6118
07.01.2022 07:00 - 07.01.2022 08:00;1870;674;6883;6664
07.01.2022 08:00 - 07.01.2022 09:00;1907;684;7259;6828
07.01.2022 09:00 - 07.01.2022 10:00;2043;689;7213;6815
07.01.2022 10:00 - 07.01.2022 11:00;1711;694;7327;6788
07.01.2022 11:00 - 07.01.2022 12:00;1768;695;7673;6758
07.01.2022 12:00 - 07.01.2022 13:00;1722;689;7652;6676
07.01.2022 13:00 - 07.01.2022 14:00;1725;696;7619;6622
07.01.2022 14:00 - 07.01.2022 15:00;1780;692;7743;6566
07.01.2022 15:00 - 07.01.2022 16:00;1848;701;7840;6468
07.01.2022 16:00 - 07.01.2022 17:00;1650;696;7724;6373
07.01.2022 17:00 - 07.01.2022 18:00;1302;697;7734;6265
07.01.2022 18:00 - 07.01.2022 19:00;920;696;7684;6134
07.01.2022 19:00 - 07.01.2022 20:00;939;691;7621;6082
07.01.2022 20:00 - 07.01.2022 21:00;769;689;7108;6018
07.01.2022 21:00 - 07.01.2022 22:00;809;690;6924;5818
07.01.2022 22:00 - 07.01.2022 23:00;790;693;6669;5621
07.01.2022 23:00 - 08.01.2022 00:00;700;688;6185;5450
08.01.2022 00:00 - 08.01.2022 01:00;1445;669;6445;5284
08.01.2022 01:00 - 08.01.2022 02:00;1286;667;6158;5125
08.01.2022 02:00 - 08.01.2022 03:00;1013;668;5963;5024
08.01.2022 03:00 - 08.01.2022 04:00;998;663;6085;4990
08.01.2022 04:00 - 08.01.2022 05:00;1005;660;6150;4964
08.01.2022 05:00 - 08.01.2022 06:00;847;661;6079;4982
08.01.2022 06:00 - 08.01.2022 07:00;955;662;6219;5110
08.01.2022 07:00 - 08.01.2022 08:00;896;691;6462;5256
08.01.2022 08:00 - 08.01.2022 09:00;922;688;7044;5471
