Time (CET/CEST);NO2-NO1;NO2_hydro_river;NO2_hydro_storage;NO1_actual_load
08.02.2022 03:00 - 08.02.2022 04:00;740;682;2249;4187
08.02.2022 04:00 - 08.02.2022 05:00;784;689;2046;4199
08.02.2022 05:00 - 08.02.2022 06:00;706;692;2764;4376
08.02.2022 06:00 - 08.02.2022 07:00;832;699;4001;4908
08.02.2022 07:00 - 08.02.2022 08:00;1119;698;4788;5520
08.02.2022 08:00 - 08.02.2022 09:00;1150;700;5186;5683
08.02.2022 09:00 - 08.02.2022 10:00;1262;697;5267;5530
08.02.2022 10:00 - 08.02.2022 11:00;1077;707;4726;5332
08.02.2022 11:00 - 08.02.2022 12:00;1006;714;4615;5137
08.02.2022 12:00 - 08.02.2022 13:00;906;712;4440;5006
08.02.2022 13:00 - 08.02.2022 14:00;777;720;4288;4876
08.02.2022 14:00 - 08.02.2022 15:00;597;721;4320;4791
08.02.2022 15:00 - 08.02.2022 16:00;623;724;5013;4795
08.02.2022 16:00 - 08.02.2022 17:00;508;714;5141;4939
08.02.2022 17:00 - 08.02.2022 18:00;391;715;5768;5198
08.02.2022 18:00 - 08.02.2022 19:00;320;716;6070;5207
08.02.2022 19:00 - 08.02.2022 20:00;352;712;6068;5171
08.02.2022 20:00 - 08.02.2022 21:00;405;712;5960;5110
08.02.2022 21:00 - 08.02.2022 22:00;306;713;5411;5029
08.02.2022 22:00 - 08.02.2022 23:00;87;710;4563;4822
08.02.2022 23:00 - 09.02.2022 00:00;148;702;3959;4599
09.02.2022 00:00 - 09.02.2022 01:00;449;698;3727;4355
09.02.2022 01:00 - 09.02.2022 02:00;500;682;3508;4264
09.02.2022 02:00 - 09.02.2022 03:00;366;693;3521;4211
09.02.2022 03:00 - 09.02.2022 04:00;514;702;3078;4205
09.02.2022 04:00 - 09.02.2022 05:00;451;698;3324;4258
09.02.2022 05:00 - 09.02.2022 06:00;649;696;3544;4424
09.02.2022 06:00 - 09.02.2022 07:00;965;713;4949;4935
09.02.2022 07:00 - 09.02.2022 08:00;1147;721;5778;5444
09.02.2022 08:00 - 09.02.2022 09:00;1159;715;6009;5566
09.02.2022 09:00 - 09.02.2022 10:00;1157;720;5675;5468
09.02.2022 10:00 - 09.02.2022 11:00;1075;728;5148;5290
09.02.2022 11:00 - 09.02.2022 12:00;962;719;4719;5131
09.02.2022 12:00 - 09.02.2022 13:00;962;720;4615;4976
09.02.2022 13:00 - 09.02.2022 14:00;902;719;4645;4888
09.02.2022 14:00 - 09.02.2022 15:00;940;720;4592;4822
09.02.2022 15:00 - 09.02.2022 16:00;775;719;4607;4891
09.02.2022 16:00 - 09.02.2022 17:00;825;708;5089;5092
09.02.2022 17:00 - 09.02.2022 18:00;1239;709;5852;5264
09.02.2022 18:00 - 09.02.2022 19:00;908;717;5830;5274
09.02.2022 19:00 - 09.02.2022 20:00;909;715;5590;5256
09.02.2022 20:00 - 09.02.2022 21:00;723;718;5220;5170
09.02.2022 21:00 - 09.02.2022 22:00;248;714;4795;5124
09.02.2022 22:00 - 09.02.2022 23:00;-5;703;4789;4863
09.02.2022 23:00 - 10.02.2022 00:00;-436;691;4602;4639
10.02.2022 00:00 - 10.02.2022 01:00;-809;678;4439;4462
10.02.2022 01:00 - 10.02.2022 02:00;-806;679;5049;4334
10.02.2022 02:00 - 10.02.2022 03:00;-624;679;5150;4282
10.02.2022 03:00 - 10.02.2022 04:00;-651;683;5247;4287
10.02.2022 04:00 - 10.02.2022 05:00;-680;685;5302;4284
10.02.2022 05:00 - 10.02.2022 06:00;-589;689;5531;4461
10.02.2022 06:00 - 10.02.2022 07:00;-122;714;6229;4926
10.02.2022 07:00 - 10.02.2022 08:00;50;708;6746;5527
10.02.2022 08:00 - 10.02.2022 09:00;81;710;6858;5640
10.02.2022 09:00 - 10.02.2022 10:00;48;702;6791;5543
10.02.2022 10:00 - 10.02.2022 11:00;24;699;6811;5324
10.02.2022 11:00 - 10.02.2022 12:00;-232;705;6367;5124
10.02.2022 12:00 - 10.02.2022 13:00;-53;702;6279;5012
10.02.2022 13:00 - 10.02.2022 14:00;122;722;6126;4953
10.02.2022 14:00 - 10.02.2022 15:00;211;725;6098;4967
10.02.2022 15:00 - 10.02.2022 16:00;149;727;6098;5058
10.02.2022 16:00 - 10.02.2022 17:00;42;723;6526;5189
10.02.2022 17:00 - 10.02.2022 18:00;268;715;7488;5354
10.02.2022 18:00 - 10.02.2022 19:00;78;713;7256;5332
10.02.2022 19:00 - 10.02.2022 20:00;-155;712;6839;5237
10.02.2022 20:00 - 10.02.2022 21:00;-254;714;6794;5223
10.02.2022 21:00 - 10.02.2022 22:00;-463;716;6285;5161
10.02.2022 22:00 - 10.02.2022 23:00;-455;716;5963;4989
10.02.2022 23:00 - 11.02.2022 00:00;-458;717;5882;4846
11.02.2022 00:00 - 11.02.2022 01:00;-470;718;5600;4609
11.02.2022 01:00 - 11.02.2022 02:00;-564;716;5449;4548
11.02.2022 02:00 - 11.02.2022 03:00;-541;715;5405;4530
11.02.2022 03:00 - 11.02.2022 04:00;-346;717;5349;4552
11.02.2022 04:00 - 11.02.2022 05:00;-452;717;5496;4645
11.02.2022 05:00 - 11.02.2022 06:00;-140;711;6144;4873
11.02.2022 06:00 - 11.02.2022 07:00;542;708;7470;5441
11.02.2022 07:00 - 11.02.2022 08:00;1078;705;8190;5987
11.02.2022 08:00 - 11.02.2022 09:00;1328;714;8349;6088
11.02.2022 09:00 - 11.02.2022 10:00;1484;718;8340;5988
11.02.2022 10:00 - 11.02.2022 11:00;1916;688;7803;5819
11.02.2022 11:00 - 11.02.2022 12:00;1982;697;6837;5647
11.02.2022 12:00 - 11.02.2022 13:00;1450;693;5512;5450
11.02.2022 13:00 - 11.02.2022 14:00;885;693;5297;5266
11.02.2022 14:00 - 11.02.2022 15:00;359;688;5561;5242
11.02.2022 15:00 - 11.02.2022 16:00;284;683;6343;5260
11.02.2022 16:00 - 11.02.2022 17:00;736;685;7159;5375
11.02.2022 17:00 - 11.02.2022 18:00;914;674;7318;5560
11.02.2022 18:00 - 11.02.2022 19:00;514;667;7169;5556
11.02.2022 19:00 - 11.02.2022 20:00;257;649;6902;5447
11.02.2022 20:00 - 11.02.2022 21:00;68;643;6594;5332
11.02.2022 21:00 - 11.02.2022 22:00;-85;656;6364;5120
11.02.2022 22:00 - 11.02.2022 23:00;-110;659;5918;4922
11.02.2022 23:00 - 12.02.2022 00:00;-189;655;5705;4794
12.02.2022 00:00 - 12.02.2022 01:00;-754;649;5245;4638
12.02.2022 01:00 - 12.02.2022 02:00;-1398;646;4996;4531
12.02.2022 02:00 - 12.02.2022 03:00;-1401;636;4778;4399
12.02.2022 03:00 - 12.02.2022 04:00;-966;633;4662;4364
12.02.2022 04:00 - 12.02.2022 05:00;-578;629;4232;4337
12.02.2022 05:00 - 12.02.2022 06:00;-515;625;4168;4348
12.02.2022 06:00 - 12.02.2022 07:00;-73;623;4325;4439
12.02.2022 07:00 - 12.02.2022 08:00;82;628;4578;4587
12.02.2022 08:00 - 12.02.2022 09:00;230;635;4695;4825
12.02.2022 09:00 - 12.02.2022 10:00;534;641;4685;4955
12.02.2022 10:00 - 12.02.2022 11:00;626;651;4116;5045
12.02.2022 11:00 - 12.02.2022 12:00;1150;640;3809;5093
12.02.2022 12:00 - 12.02.2022 13:00;1293;650;3510;5061
12.02.2022 13:00 - 12.02.2022 14:00;1573;649;3148;4993
12.02.2022 14:00 - 12.02.2022 15:00;1326;650;3550;4958
12.02.2022 15:00 - 12.02.2022 16:00;1114;653;3938;4976
12.02.2022 16:00 - 12.02.2022 17:00;1055;664;4266;5049
12.02.2022 17:00 - 12.02.2022 18:00;607;665;4593;5183
12.02.2022 18:00 - 12.02.2022 19:00;429;675;4459;5119
12.02.2022 19:00 - 12.02.2022 20:00;597;681;4195;4951
12.02.2022 20:00 - 12.02.2022 21:00;595;678;4029;4774
12.02.2022 21:00 - 12.02.2022 22:00;473;693;3595;4583
12.02.2022 22:00 - 12.02.2022 23:00;280;700;3459;4455
12.02.2022 23:00 - 13.02.2022 00:00;231;703;3384;4288
13.02.2022 00:00 - 13.02.2022 01:00;562;691;3369;4174
13.02.2022 01:00 - 13.02.2022 02:00;528;675;3118;4094
13.02.2022 02:00 - 13.02.2022 03:00;287;683;3202;3988
13.02.2022 03:00 - 13.02.2022 04:00;358;681;3024;3940
13.02.2022 04:00 - 13.02.2022 05:00;185;685;3127;3912
13.02.2022 05:00 - 13.02.2022 06:00;468;697;2937;3960
13.02.2022 06:00 - 13.02.2022 07:00;815;720;2887;4052
13.02.2022 07:00 - 13.02.2022 08:00;1204;729;3022;4106
13.02.2022 08:00 - 13.02.2022 09:00;1459;735;3178;4206
13.02.2022 09:00 - 13.02.2022 10:00;1579;745;3191;4364
13.02.2022 10:00 - 13.02.2022 11:00;1525;762;2788;4442
13.02.2022 11:00 - 13.02.2022 12:00;1016;761;2500;4530
13.02.2022 12:00 - 13.02.2022 13:00;1011;766;2491;4519
13.02.2022 13:00 - 13.02.2022 14:00;1185;766;2561;4476
13.02.2022 14:00 - 13.02.2022 15:00;1174;761;2691;4441
13.02.2022 15:00 - 13.02.2022 16:00;1093;752;2714;4468
13.02.2022 16:00 - 13.02.2022 17:00;1347;752;3334;4485
13.02.2022 17:00 - 13.02.2022 18:00;1083;760;3873;4683
13.02.2022 18:00 - 13.02.2022 19:00;968;765;3854;4683
13.02.2022 19:00 - 13.02.2022 20:00;1431;759;3478;4612
13.02.2022 20:00 - 13.02.2022 21:00;1697;768;3366;4523
13.02.2022 21:00 - 13.02.2022 22:00;1205;769;2701;4475
13.02.2022 22:00 - 13.02.2022 23:00;1360;766;3022;4342
13.02.2022 23:00 - 14.02.2022 00:00;1404;768;2827;4128
14.02.2022 00:00 - 14.02.2022 01:00;954;748;2407;4012
14.02.2022 01:00 - 14.02.2022 02:00;730;752;2348;3955
14.02.2022 02:00 - 14.02.2022 03:00;702;755;2377;3916
14.02.2022 03:00 - 14.02.2022 04:00;718;752;2442;3873
14.02.2022 04:00 - 14.02.2022 05:00;861;750;2660;3929
14.02.2022 05:00 - 14.02.2022 06:00;1144;753;3084;4155
14.02.2022 06:00 - 14.02.2022 07:00;1260;750;3857;4693
14.02.2022 07:00 - 14.02.2022 08:00;1406;751;4750;5259
14.02.2022 08:00 - 14.02.2022 09:00;1375;765;4655;5411
14.02.2022 09:00 - 14.02.2022 10:00;1450;772;4202;5419
14.02.2022 10:00 - 14.02.2022 11:00;1729;772;4167;5377
14.02.2022 11:00 - 14.02.2022 12:00;1889;774;4245;5366
14.02.2022 12:00 - 14.02.2022 13:00;1832;774;4239;5394
14.02.2022 13:00 - 14.02.2022 14:00;1555;771;4046;5400
14.02.2022 14:00 - 14.02.2022 15:00;1381;767;4249;5455
14.02.2022 15:00 - 14.02.2022 16:00;1120;770;4743;5502
14.02.2022 16:00 - 14.02.2022 17:00;1078;769;5140;5558
14.02.2022 17:00 - 14.02.2022 18:00;1125;788;5602;5626
14.02.2022 18:00 - 14.02.2022 19:00;975;813;5487;5559
14.02.2022 19:00 - 14.02.2022 20:00;932;825;5052;5445
14.02.2022 20:00 - 14.02.2022 21:00;730;830;4599;5301
14.02.2022 21:00 - 14.02.2022 22:00;591;826;4157;5122
14.02.2022 22:00 - 14.02.2022 23:00;536;812;3998;4850
14.02.2022 23:00 - 15.02.2022 00:00;201;820;3662;4648
15.02.2022 00:00 - 15.02.2022 01:00;-82;817;3461;4411
15.02.2022 01:00 - 15.02.2022 02:00;83;813;3458;4213
15.02.2022 02:00 - 15.02.2022 03:00;211;813;3426;4157
15.02.2022 03:00 - 15.02.2022 04:00;141;804;3458;4137
15.02.2022 04:00 - 15.02.2022 05:00;-15;794;3467;4176
15.02.2022 05:00 - 15.02.2022 06:00;448;788;3863;4381
15.02.2022 06:00 - 15.02.2022 07:00;898;783;4746;4980
15.02.2022 07:00 - 15.02.2022 08:00;1136;785;5504;5590
15.02.2022 08:00 - 15.02.2022 09:00;1213;789;5535;5693
15.02.2022 09:00 - 15.02.2022 10:00;1303;788;5582;5688
15.02.2022 10:00 - 15.02.2022 11:00;1368;800;5353;5655
15.02.2022 11:00 - 15.02.2022 12:00;1302;812;5036;5453
15.02.2022 12:00 - 15.02.2022 13:00;1202;805;4898;5281
15.02.2022 13:00 - 15.02.2022 14:00;1119;809;4859;5205
15.02.2022 14:00 - 15.02.2022 15:00;1128;806;4784;5162
15.02.2022 15:00 - 15.02.2022 16:00;1032;803;4702;5213
15.02.2022 16:00 - 15.02.2022 17:00;1096;798;4844;5365
15.02.2022 17:00 - 15.02.2022 18:00;1211;801;5291;5486
15.02.2022 18:00 - 15.02.2022 19:00;1066;806;5161;5514
15.02.2022 19:00 - 15.02.2022 20:00;928;816;4699;5436
15.02.2022 20:00 - 15.02.2022 21:00;998;819;3941;5317
15.02.2022 21:00 - 15.02.2022 22:00;1666;817;3618;5156
15.02.2022 22:00 - 15.02.2022 23:00;1411;816;3374;4958
15.02.2022 23:00 - 16.02.2022 00:00;1466;820;3041;4724
16.02.2022 00:00 - 16.02.2022 01:00;1201;798;2577;4531
16.02.2022 01:00 - 16.02.2022 02:00;1223;788;2485;4410
16.02.2022 02:00 - 16.02.2022 03:00;960;780;2807;4293
16.02.2022 03:00 - 16.02.2022 04:00;492;780;3202;4250
16.02.2022 04:00 - 16.02.2022 05:00;365;776;3334;4256
16.02.2022 05:00 - 16.02.2022 06:00;681;794;3813;4418
16.02.2022 06:00 - 16.02.2022 07:00;940;789;4945;4946
16.02.2022 07:00 - 16.02.2022 08:00;1046;793;5599;5463
16.02.2022 08:00 - 16.02.2022 09:00;871;806;5661;5599
16.02.2022 09:00 - 16.02.2022 10:00;902;808;5591;5473
16.02.2022 10:00 - 16.02.2022 11:00;1188;820;5526;5366
16.02.2022 11:00 - 16.02.2022 12:00;1126;832;5432;5211
16.02.2022 12:00 - 16.02.2022 13:00;1087;836;5085;5092
16.02.2022 13:00 - 16.02.2022 14:00;935;842;4617;4999
16.02.2022 14:00 - 16.02.2022 15:00;1251;834;4266;5006
16.02.2022 15:00 - 16.02.2022 16:00;931;834;3987;5123
16.02.2022 16:00 - 16.02.2022 17:00;777;833;4143;5222
16.02.2022 17:00 - 16.02.2022 18:00;1046;834;4712;5311
16.02.2022 18:00 - 16.02.2022 19:00;697;828;4968;5327
16.02.2022 19:00 - 16.02.2022 20:00;730;827;4794;5272
16.02.2022 20:00 - 16.02.2022 21:00;907;823;4418;5216
16.02.2022 21:00 - 16.02.2022 22:00;1146;820;4186;5064
16.02.2022 22:00 - 16.02.2022 23:00;837;814;3778;4810
16.02.2022 23:00 - 17.02.2022 00:00;1113;808;3207;4583
17.02.2022 00:00 - 17.02.2022 01:00;1066;794;2503;4388
17.02.2022 01:00 - 17.02.2022 02:00;907;787;1682;4258
17.02.2022 02:00 - 17.02.2022 03:00;876;779;1402;4184
17.02.2022 03:00 - 17.02.2022 04:00;1396;753;1296;4179
17.02.2022 04:00 - 17.02.2022 05:00;1301;764;1089;4198
17.02.2022 05:00 - 17.02.2022 06:00;1231;759;1695;4396
17.02.2022 06:00 - 17.02.2022 07:00;1361;749;3715;4923
17.02.2022 07:00 - 17.02.2022 08:00;612;749;4895;5480
17.02.2022 08:00 - 17.02.2022 09:00;793;748;5322;5592
17.02.2022 09:00 - 17.02.2022 10:00;1170;751;4834;5509
17.02.2022 10:00 - 17.02.2022 11:00;1334;753;4411;5455
17.02.2022 11:00 - 17.02.2022 12:00;1658;746;4183;5275
17.02.2022 12:00 - 17.02.2022 13:00;2178;744;3934;5164
17.02.2022 13:00 - 17.02.2022 14:00;2325;748;3599;5066
17.02.2022 14:00 - 17.02.2022 15:00;2247;744;3546;5068
17.02.2022 15:00 - 17.02.2022 16:00;1910;746;3605;5099
17.02.2022 16:00 - 17.02.2022 17:00;1840;739;4077;5240
17.02.2022 17:00 - 17.02.2022 18:00;1253;742;4489;5400
17.02.2022 18:00 - 17.02.2022 19:00;514;741;4639;5401
17.02.2022 19:00 - 17.02.2022 20:00;1204;744;4248;5384
17.02.2022 20:00 - 17.02.2022 21:00;1506;748;3757;5267
17.02.2022 21:00 - 17.02.2022 22:00;1662;747;3761;5169
17.02.2022 22:00 - 17.02.2022 23:00;1473;744;3428;5025
17.02.2022 23:00 - 18.02.2022 00:00;1426;741;3209;4813
18.02.2022 00:00 - 18.02.2022 01:00;834;705;2576;4616
18.02.2022 01:00 - 18.02.2022 02:00;587;699;2360;4490
18.02.2022 02:00 - 18.02.2022 03:00;300;697;2227;4484
18.02.2022 03:00 - 18.02.2022 04:00;284;696;2239;4491
18.02.2022 04:00 - 18.02.2022 05:00;46;696;2811;4547
18.02.2022 05:00 - 18.02.2022 06:00;-65;691;3767;4753
18.02.2022 06:00 - 18.02.2022 07:00;-392;729;4933;5246
18.02.2022 07:00 - 18.02.2022 08:00;-695;742;5952;5848
18.02.2022 08:00 - 18.02.2022 09:00;165;746;6412;5903
18.02.2022 09:00 - 18.02.2022 10:00;535;749;6774;5775
18.02.2022 10:00 - 18.02.2022 11:00;387;744;6591;5524
18.02.2022 11:00 - 18.02.2022 12:00;290;762;6304;5302
18.02.2022 12:00 - 18.02.2022 13:00;-187;762;5516;5105
18.02.2022 13:00 - 18.02.2022 14:00;335;753;5034;5029
18.02.2022 14:00 - 18.02.2022 15:00;788;732;4493;4973
18.02.2022 15:00 - 18.02.2022 16:00;938;723;4027;4936
18.02.2022 16:00 - 18.02.2022 17:00;648;719;4317;5080
18.02.2022 17:00 - 18.02.2022 18:00;470;724;4845;5341
18.02.2022 18:00 - 18.02.2022 19:00;305;726;5313;5391
18.02.2022 19:00 - 18.02.2022 20:00;-179;725;5253;5305
18.02.2022 20:00 - 18.02.2022 21:00;-293;721;4863;5113
18.02.2022 21:00 - 18.02.2022 22:00;-161;721;4565;4923
18.02.2022 22:00 - 18.02.2022 23:00;60;710;4443;4723
18.02.2022 23:00 - 19.02.2022 00:00;405;706;3879;4526
19.02.2022 00:00 - 19.02.2022 01:00;437;687;2928;4427
19.02.2022 01:00 - 19.02.2022 02:00;636;687;2458;4317
19.02.2022 02:00 - 19.02.2022 03:00;837;680;1987;4257
19.02.2022 03:00 - 19.02.2022 04:00;969;666;1481;4290
19.02.2022 04:00 - 19.02.2022 05:00;1433;654;1439;4293
19.02.2022 05:00 - 19.02.2022 06:00;1102;640;1565;4399
19.02.2022 06:00 - 19.02.2022 07:00;513;650;1908;4632
19.02.2022 07:00 - 19.02.2022 08:00;-113;642;2492;4859
19.02.2022 08:00 - 19.02.2022 09:00;173;642;2896;5000
19.02.2022 09:00 - 19.02.2022 10:00;481;643;2841;5182
19.02.2022 10:00 - 19.02.2022 11:00;791;628;2637;5184
19.02.2022 11:00 - 19.02.2022 12:00;769;621;2620;5009
19.02.2022 12:00 - 19.02.2022 13:00;456;620;2321;4870
19.02.2022 13:00 - 19.02.2022 14:00;58;620;1856;4783
19.02.2022 14:00 - 19.02.2022 15:00;277;615;2238;4752
19.02.2022 15:00 - 19.02.2022 16:00;48;611;2644;4786
19.02.2022 16:00 - 19.02.2022 17:00;219;608;3245;4981
19.02.2022 17:00 - 19.02.2022 18:00;133;618;3879;5127
19.02.2022 18:00 - 19.02.2022 19:00;-185;628;4488;5213
19.02.2022 19:00 - 19.02.2022 20:00;-514;628;4303;5160
19.02.2022 20:00 - 19.02.2022 21:00;-127;608;3663;5043
19.02.2022 21:00 - 19.02.2022 22:00;85;610;3253;4937
19.02.2022 22:00 - 19.02.2022 23:00;241;611;3399;4854
19.02.2022 23:00 - 20.02.2022 00:00;103;607;3344;4779
20.02.2022 00:00 - 20.02.2022 01:00;-287;596;3580;4741
20.02.2022 01:00 - 20.02.2022 02:00;29;596;3061;4636
20.02.2022 02:00 - 20.02.2022 03:00;389;592;2885;4659
20.02.2022 03:00 - 20.02.2022 04:00;566;588;2286;4617
20.02.2022 04:00 - 20.02.2022 05:00;1331;566;2012;4674
20.02.2022 05:00 - 20.02.2022 06:00;1445;570;1862;4705
20.02.2022 06:00 - 20.02.2022 07:00;1796;571;1578;4812
20.02.2022 07:00 - 20.02.2022 08:00;2084;561;1584;4988
20.02.2022 08:00 - 20.02.2022 09:00;1900;561;1600;5129
20.02.2022 09:00 - 20.02.2022 10:00;1428;568;1902;5199
20.02.2022 10:00 - 20.02.2022 11:00;910;576;2328;5156
20.02.2022 11:00 - 20.02.2022 12:00;211;575;2284;5031
20.02.2022 12:00 - 20.02.2022 13:00;88;577;2355;4941
20.02.2022 13:00 - 20.02.2022 14:00;114;577;2439;4856
20.02.2022 14:00 - 20.02.2022 15:00;148;571;2419;4836
20.02.2022 15:00 - 20.02.2022 16:00;120;571;2554;4992
20.02.2022 16:00 - 20.02.2022 17:00;61;571;2712;5089
20.02.2022 17:00 - 20.02.2022 18:00;220;577;3134;5197
20.02.2022 18:00 - 20.02.2022 19:00;126;582;3161;5324
20.02.2022 19:00 - 20.02.2022 20:00;-24;573;3058;5297
20.02.2022 20:00 - 20.02.2022 21:00;-170;581;2924;5217
20.02.2022 21:00 - 20.02.2022 22:00;-223;579;2916;5094
20.02.2022 22:00 - 20.02.2022 23:00;-145;576;2929;4905
20.02.2022 23:00 - 21.02.2022 00:00;124;573;2310;4690
21.02.2022 00:00 - 21.02.2022 01:00;46;553;1542;4557
21.02.2022 01:00 - 21.02.2022 02:00;485;543;1369;4419
21.02.2022 02:00 - 21.02.2022 03:00;427;536;1254;4344
21.02.2022 03:00 - 21.02.2022 04:00;643;532;1290;4412
21.02.2022 04:00 - 21.02.2022 05:00;1144;537;1619;4502
21.02.2022 05:00 - 21.02.2022 06:00;1580;537;2459;4644
21.02.2022 06:00 - 21.02.2022 07:00;1475;563;3284;5085
21.02.2022 07:00 - 21.02.2022 08:00;855;579;4149;5611
21.02.2022 08:00 - 21.02.2022 09:00;1016;605;4616;5798
21.02.2022 09:00 - 21.02.2022 10:00;1227;619;4360;5850
21.02.2022 10:00 - 21.02.2022 11:00;1339;622;4159;5789
21.02.2022 11:00 - 21.02.2022 12:00;1432;609;4225;5725
21.02.2022 12:00 - 21.02.2022 13:00;1029;610;4249;5678
21.02.2022 13:00 - 21.02.2022 14:00;687;611;4212;5575
21.02.2022 14:00 - 21.02.2022 15:00;774;618;4358;5497
21.02.2022 15:00 - 21.02.2022 16:00;661;628;4775;5435
21.02.2022 16:00 - 21.02.2022 17:00;607;633;4884;5491
21.02.2022 17:00 - 21.02.2022 18:00;733;639;5334;5614
21.02.2022 18:00 - 21.02.2022 19:00;617;659;5314;5708
21.02.2022 19:00 - 21.02.2022 20:00;816;657;5311;5596
21.02.2022 20:00 - 21.02.2022 21:00;825;657;4573;5433
21.02.2022 21:00 - 21.02.2022 22:00;1260;650;4114;5256
21.02.2022 22:00 - 21.02.2022 23:00;811;651;3536;4981
21.02.2022 23:00 - 22.02.2022 00:00;859;639;3210;4807
22.02.2022 00:00 - 22.02.2022 01:00;758;624;3219;4645
22.02.2022 01:00 - 22.02.2022 02:00;570;631;3075;4557
22.02.2022 02:00 - 22.02.2022 03:00;561;644;3106;4529
22.02.2022 03:00 - 22.02.2022 04:00;463;639;3394;4549
22.02.2022 04:00 - 22.02.2022 05:00;422;645;3847;4624
22.02.2022 05:00 - 22.02.2022 06:00;344;670;4628;4879
22.02.2022 06:00 - 22.02.2022 07:00;367;693;5914;5426
22.02.2022 07:00 - 22.02.2022 08:00;884;714;7550;5934
22.02.2022 08:00 - 22.02.2022 09:00;972;742;7840;6014
22.02.2022 09:00 - 22.02.2022 10:00;1287;740;8173;5993
22.02.2022 10:00 - 22.02.2022 11:00;1446;744;8211;5895
22.02.2022 11:00 - 22.02.2022 12:00;1443;755;7801;5746
22.02.2022 12:00 - 22.02.2022 13:00;1220;755;7037;5655
22.02.2022 13:00 - 22.02.2022 14:00;1054;758;6345;5542
22.02.2022 14:00 - 22.02.2022 15:00;1013;748;6419;5578
22.02.2022 15:00 - 22.02.2022 16:00;1076;751;6807;5661
22.02.2022 16:00 - 22.02.2022 17:00;793;757;7529;5815
22.02.2022 17:00 - 22.02.2022 18:00;970;760;7826;5952
22.02.2022 18:00 - 22.02.2022 19:00;1135;760;7628;5935
22.02.2022 19:00 - 22.02.2022 20:00;1208;756;6878;5862
22.02.2022 20:00 - 22.02.2022 21:00;1528;757;5946;5693
22.02.2022 21:00 - 22.02.2022 22:00;1493;750;4878;5555
22.02.2022 22:00 - 22.02.2022 23:00;950;728;3932;5307
22.02.2022 23:00 - 23.02.2022 00:00;1044;718;3496;5059
23.02.2022 00:00 - 23.02.2022 01:00;512;705;2672;4902
23.02.2022 01:00 - 23.02.2022 02:00;467;695;2477;4742
23.02.2022 02:00 - 23.02.2022 03:00;461;686;2408;4679
23.02.2022 03:00 - 23.02.2022 04:00;638;679;2683;4648
23.02.2022 04:00 - 23.02.2022 05:00;664;676;3239;4673
23.02.2022 05:00 - 23.02.2022 06:00;567;700;4038;4861
23.02.2022 06:00 - 23.02.2022 07:00;775;719;5760;5370
23.02.2022 07:00 - 23.02.2022 08:00;1363;727;7354;5881
23.02.2022 08:00 - 23.02.2022 09:00;1180;733;7457;5930
23.02.2022 09:00 - 23.02.2022 10:00;1281;737;6725;5850
23.02.2022 10:00 - 23.02.2022 11:00;739;741;4991;5705
23.02.2022 11:00 - 23.02.2022 12:00;1137;727;4190;5550
23.02.2022 12:00 - 23.02.2022 13:00;1530;716;3484;5365
23.02.2022 13:00 - 23.02.2022 14:00;1479;718;3054;5233
23.02.2022 14:00 - 23.02.2022 15:00;1154;719;3770;5174
23.02.2022 15:00 - 23.02.2022 16:00;696;708;4434;5218
23.02.2022 16:00 - 23.02.2022 17:00;506;700;5281;5333
23.02.2022 17:00 - 23.02.2022 18:00;660;705;5505;5385
23.02.2022 18:00 - 23.02.2022 19:00;877;712;5422;5384
23.02.2022 19:00 - 23.02.2022 20:00;660;718;4863;5286
23.02.2022 20:00 - 23.02.2022 21:00;768;722;4566;5194
23.02.2022 21:00 - 23.02.2022 22:00;751;726;4325;5024
23.02.2022 22:00 - 23.02.2022 23:00;436;735;3884;4779
23.02.2022 23:00 - 24.02.2022 00:00;221;720;3664;4570
24.02.2022 00:00 - 24.02.2022 01:00;-102;720;3358;4343
24.02.2022 01:00 - 24.02.2022 02:00;-175;724;3114;4282
24.02.2022 02:00 - 24.02.2022 03:00;-177;730;2868;4213
24.02.2022 03:00 - 24.02.2022 04:00;-112;722;2552;4157
24.02.2022 04:00 - 24.02.2022 05:00;19;724;2983;4147
24.02.2022 05:00 - 24.02.2022 06:00;-121;743;3672;4312
24.02.2022 06:00 - 24.02.2022 07:00;58;756;4550;4832
24.02.2022 07:00 - 24.02.2022 08:00;197;759;4970;5257
24.02.2022 08:00 - 24.02.2022 09:00;266;759;5075;5435
24.02.2022 09:00 - 24.02.2022 10:00;291;762;5084;5427
24.02.2022 10:00 - 24.02.2022 11:00;383;758;4822;5353
24.02.2022 11:00 - 24.02.2022 12:00;790;754;4331;5145
24.02.2022 12:00 - 24.02.2022 13:00;950;732;3794;5044
24.02.2022 13:00 - 24.02.2022 14:00;1056;735;3807;5020
24.02.2022 14:00 - 24.02.2022 15:00;972;727;3965;5014
24.02.2022 15:00 - 24.02.2022 16:00;824;727;4842;5035
24.02.2022 16:00 - 24.02.2022 17:00;312;729;5141;5118
24.02.2022 17:00 - 24.02.2022 18:00;86;738;5753;5199
24.02.2022 18:00 - 24.02.2022 19:00;-81;736;6131;5294
24.02.2022 19:00 - 24.02.2022 20:00;45;733;5399;5217
24.02.2022 20:00 - 24.02.2022 21:00;458;721;4879;5144
24.02.2022 21:00 - 24.02.2022 22:00;664;695;4366;5092
24.02.2022 22:00 - 24.02.2022 23:00;775;687;4102;4921
